Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
DQM	Don't Quote Me
DQMOT	Don't Quote Me On That/This
DRCOG	Diploma of the Royal College of Obstetrics and Gynaecology
DRL	Daytime Running Lights
DRM	Digital Rights Management/Digital Radio Mondial
DROFL	Double Roll On Floor Laughing
DRYHTH	Don't Raise Your Hopes Too High
DS	Detective Sergeant
DS9	Deep Space Nine
DSCOTCGIWUR	Dominatrix Supreme and Commandante Of The Chain Gang In cix:WUR
DSIF	Deep Space Instrumentation Facility
DSL	Digital Subscriber Line
DSL	District Scout Leader
DSLAM	Digital Subscriber Line Access Multiplexer
DSN	Deep Space Net/Don't Stop Now
DSP	Digital Signal Processor
DSR	Data Set Ready
DSSCTM	Don't Stand So Close To Me
DTB	Downloading This Blink
DTD	Drop To DOS
DTE	Data Terminal Equipment
DTGTTS	Done That, Got The T Shirt
DTI	Department of Trade & Industry/ Desperate Times Indeed
DTLOI	Due To Lack Of Interest
DTP	DeskTop Publishing
DTR	Data Terminal Ready
DTT	Digital Terrestrial Television
DTTBOWTBW	Don't Throw The Baby Out With The Bath Water
DTW	Disgusted of Tunbridge Wells
DTTYNB	Don't Tell Them Your Name Bruce
DTTYNP	Don't Tell Them Your Name Pike
DUN	Dial Up Networking
DUYBOC	Don't Understand Your Banter Old Chap
DV	DESQview
DVD	Digital Versatile Disc
DVDR	Digital Versatile Disc (DVD) Recorder(able)
DVI	Digital Video Interface
DVLA	Driver & Vehicle Licensing Agency
DVLC	Driver & Vehicle Licensing Centre (now DVLA)
DVSL	District Venture Scout Leader
DW	Doctor Who/DiskWorld/Dream Weaver
DWAI	Don't Worry About It
DWIM	Do What I Mean
DWIS	Do What I Say
DWYATOE	Do What You Are Told Or Else
DYFAYEG	Diolch Yn Fawr Am Y E-Grot! (Thanks very much for the e-groat)
DYFAYES	Diolch Yn Fawr Am Y E-swllt (Thanks very much for the e-shilling)
DYFCS	Diolch Yn Fawr Caredig Syr
DYFI	Diolch Yn Fawr Iawn (Thank you very much (welsh))
DYHASFI	Do You Have A Software Firewall Installed
DYM	Do You Mean
DYMIGMC	Don't You Mean I'll Get My Coat
DYSWIM	Do You See What I Mean
EAR	Everything's All Right
EARN	European Academic Research Network
EB	Encyclopaedia Britannica
EBA	English Basketball Association
EBBB	Engage Brain Before Blinking
EBCDIC	Extended Binary Coded Decimal Interchange Code
EBS	Errant Brain Syndrome
ECC	E-Contact Centre (in Nextran)/E Contact Center (in Merkin)/Error Checking & Correction (in English)
ECHR	European Court of Human Rights
ECJ	European Court of Justice
ECM	Electronic Counter Measure
ECML	East Coast Main Line
ECP	Enhanced Capability Port
ECT	Edge Crush Test
ED	Eating Disorder
EDGE	Enhanced Datarates for Global Evolution
EDM	Early Day Motion (Parliamentary procedure much used in campaigning but rarely leading to legislation)
EDO	Enhanced Data Out
EDS	Electronic Data Systems
EER	Effective Exchange Rate
EEROM	Electrically Erasable Read Only Memory
EFCC	Evangelical Fellowship of Congregational Churches
EFF	Electronic Frontier Foundation
EFS	Errant Finger Syndrome 
EG	Evil Grin
EGA	Enhanced Graphics Adapter
EGDTTPB	E-Groat Diverted To The Poor Box
EGSIIE	E-Groat Supply Is In-Exhaustible
EGWMT	Extremely Generous With My Time
EHT	Extra High Tension
EIDE	Enhanced Integrated Drive Electronics
EISA	Extended Industry Standard Architecture
EITNR	Expected In The Next Release
ELCB	Earth Leakage Circuit Breaker
ELP	Euro Linguistic Programming
EMB	Expressed Breast Milk
EMFBI	Excuse Me For Butting In
EMFJI	Excuse Me For Jumping In
EMI	European Monetary Institute/Electrical and Mechanical Industries
EMM	Expanded Memory Manager
EMP	Electro Magnetic Pulse
EMS	Expanded Memory Specification/Expanded Memory System /European Monetary System
EMU	European Monetary Union
EOD	End Of Discussion
EOL	End Of Lecture
EOM	End Of Message
EOR	End Of Rant/Report
EOT	End Of Thread/Tape/Transmission
EOTBT	End Of The Bloody Thread
EOTIAMAE	End Of The Internet Announced Movie At Eight
EOTNAMAE	End Of The Net Announced Movie At Eight
EOTWAWKI	End Of The World As We Know It
EP	Eye Piece
EPA	Enduring Power of Attorney 
EPG	Electronic Programme Guide
EPP	Enhanced Printer Port
EPROM	Erasable Programmable Read Only Memory
ERM	Exchange Rate Mechanism
ES	Evil Smirk/Explorer Scout
ESA	European Space Agency
ESAA	English Schools' Athletic Association
ESAD	Eat Shit And Die
ESAL	Eats, Shoots And Leaves
ESCD	Extended System Configuration Data
ESDI	Enhanced Small Device Interface
ESFD	Ex-Stock From Distributor
ESFM	Ex-Stock From Manufacturer
ESFS	Ex-Stock From Supplier
ESFV	Ex-Stock From Vendor
ESL	Explorer Scout Leader
ESM	Extended Senior Moment
ESOSL	Endless Snorts Of Stupid Laughter
ESP	Enhanced Serial Port/Extra-Sensory Perception
ESR	Eric S. Raymond (Open Source luminary)
ESS	Ex-Stock Supplier
EST	Eastern Standard Time
ESU	Explorer Scout Unit
ET	Extra Terrestrial/Euro Tunnel
ETA	Estimated Time of Arrival/Apocalypse
ETD	Expected Time of Delivery
ETLA	Extended Three Letter Acronym
ETOD	Expected Time Of Delivery
ETTO	Each To Their Own
EU	European Union
EULA	End User Licence Agreement
EWCB	England and Wales Cricket Board
EWD	Edsger W. Dijkstra (CS luminary)
EWIT	Exactly What I Thought
EWK	Enters Without Knocking/Especially Wicked Knock
EWTB	Ex Wife To Be
F2F	Face to Face
FA	Football Association
FAA	Very little/F**k All Available
FAC	Feminists Against Censorship/Foreign Affairs Committee
FACTOR	Facile Acronyms Create Totally Obscure "Reminders"
FAEG	Forfeit An E-Groat
FAF	Fone A Friend
FAIB	Free As In Beer
FAQ	Frequently Asked Question
FAR	Frequently Asked Request
FASC	Foreign Affairs Select Committee
FAST	Federation Against Software Theft
FAT	File Allocation Table
FATMAEP	Fools And Their Money Are Easily Parted
FAW	Football Association of Wales/Frequently Asked Wish
FB	Fine Business
FBIFM	Far Be It For Me
FBTT	Far Busier Than Thou
FC	Flying Carpet/Football Club
FCC	Federal Communications Commission
FCCOEG	Fines Conference Chaplain One E-Groat
FCOL	For Crying Out Loud
FCS	For Christ's Sake
FD	First Direct/Finance Director/Floppy Disk/Flying Donkey
FDDI	Fibre Distributed Data Interchange
FDO	Field Development Officer
FDROTFL	Falling Down Rolling On The Floor Laughing
FE	First Edition/Further Education
FEAEA	For Ever And Ever Amen
FECUR	Font Explorer for cix:WUR
FED	Field Effect Display
FEI	For Everyone's Information
FEIYD	ForEver In Your Debt
FET	Field Effect Transistor
FF	Fifty-Fifty/Font Fluid
FFC	F**king Fast Comms
FFE	Final Front Ear
FFO	Finger Food Only
FFR	Fitness For Role
FFS	For F**ks’ Sake/Full Frame Sensor
FFTB	Feel Free To Butt
FFWF	Fight Fire With Fire 
FGKAC	For God, King And Country
FGQAC	For God, Queen And Country
FGS	For God's/Goodness Sake
FH	Floating Head
FI	For Instance
FIC	Father In Charge
FIEC	Fellowship of Independent Evangelical Churches
FIFO	First In First Out
FIIK	F**ked If I Know
FIL	Father In Law
FILO	First In Last Out
FIQ	Fast Interrupt reQuest
FISH	First In Still Here
FITB	Fill In The Blank…
FITMR	Fixed In The Maintenance Release (honest, guv...)
FITNMR	Fixed In The Next Maintenance Release
FITNR	Fixed In The Next Release
FITNV	Fixed In The Next Version
FL	Florida
FLA	Four/Five Letter Acronym
FLTA	Fermat's Last Theorem Applies
FM	Font Monster/Frequency Modulation/File Mangler/Facing Material/Federated States Of Micronesia/F**cking Manual
FMB	F**k Me Backwards/Forgive My Bluntness
FMS	False Memory Syndrome
FMTYEWTK	Far More Than You Ever Wanted To Know
FNFTIBYGT	Fear Not, For Today I Bring You Glad Tidings
FNFTIBYGTOGJ	Fear Not, For Today I Bring You Glad Tidings Of Great Joy
FNICHAMAW	Fear Not It Can Have Another Meaning As Well
FNS	Front Near Side
FOAD	F*ck Off And Die
FOAF	Friend Of A Friend
FOC	Free Of Charge
FOCBMTPAT	Falls Off Chair But Minds The Poor Almost Toddler
FOCBMTPB	Falls Off Chair But Minds The Poor Baby
FOCBMTPT	Falls Off Chair But Minds The Poor Toddler
FOCBMTPFYL	Falls Off Chair But Minds The Poor Fine Young Lady
FOCBMTPFYLFO	Falls Off Chair But Minds The Poor Fine Young Lady For Once
FOCL	Falls Off Chair Laughing
FOCLWTSDMF	Falls Off Chair Laughing With Tears Streaming Down My Face
FOCWAU	Falls Off Chair, World And Universe
FOCWAU	Falls Off Chair, World And Universe
FOEG	Fined One E-Groat
FOEGFGAIA	Forfeit One E-Groat For Grossly Abusing Innocent Acronym
FOEGFGAIS	Forfeit One E-Groat For Grossly Abusing Innocent Saints
FOEGFUAAWKTM	Fined One E-Groat For Using An Acronym Without Knowing The Meaning
FOES	Fined One E-Shilling/E-Smack
FOF	Friend Of a Friend
FOMC	Federal Open Market Committee
FOMCL	Falling Off My Chair Laughing
FOOBAH	Fouled Up Beyond All Hope
FOOBAR	Fouled Up Beyond All Recognition
FOP	Falls Off Pew
FORCE	Frequently Obvious Restricted Collection Exposed
FORD	Fix Or Repair Daily
FOS	Front Off Side
FOTCL	Falling Off The Chair Laughing
FOTP	Fresh Off The Press
FOTPA	Fallen Off The Planet Again
FOTR	Fellowship Of The Ring
FOTS	For Old Times’ Sake
FOV	Field of View
FP	(Microsoft) FrontPage/Free Parking
FPS	For Pete's/Pity's Sake
FPTP	First Past The Post
FQDN	Fully Qualified Domain Name
FRA	File Read All
FRC	Family Record Centre
FRIACO	Flat-Rate Internet Access Call Origination
FRO	F**k Right Off
FSB	Front Side Bus
FSD	Fools Seldom Differ
FSDT	Four Sprung Duck Technique
FSF	Free Software Foundation
FSFIS	Fellow of the Shit Fan Interface Society
FSJ	Frequently Said Jokes
FSK	Frequency Shift Keying
FSR	For Some Reason
FSS	First Stage Separation
FSVO	For Some Value Of
FT	Financial Times
FTA	Free To Air
FTAGH	Free To A Good Home
FTAOD	For The Avoidance Of Doubt
FTB	Far Too Busy
FTBTS	Far Too Busy To Say
FTBTTY	Far Too Busy To Tease You
FTC	Federal Trade Commission
FTCCOEG	Fines The Chaplain One E-Groat
FTEG	Fined Two E-Groats
FTES	Fined Two E-Shillings
FTFF	For The Foreseeable Future
FTI	Far Too Idle
FTIFTT	Far Too Innocent For This Topic
FTL	Far Too Lazy/Late/Faster Than Light
FTLTR	Far Too Lazy To Reply
FTM	For That Matter
FTOYWDK	For Those Of You Who Don't Know
FTP	File Transfer Protocol
FTPBI	Failed To Put Brain In
FTPO	For The Price Of
FTR	For The Record
FTSME	 Financial Times Smoke & Mirrors Exchange
FTTB	For The Time Being
FTTF	Falls Through The Floor
FTTT	From Time To Time
FTV	Free To View
FTWQ	F**k That Was Quick
FU	Fouled Up
FUBAR	Fouled Up Beyond All Recognition
FUBB	F*ed-Up Beyond Belief
FUBBIN	Finger Up Bum, Brain In Neutral
FUBISO	F* You, Buddy, I'm Shipping Out
FUD	Fear, Uncertainty and Doubt
FUGAZI	Fouled Up, Got Ambushed, Zipped In
FUMTU	F*ed-Up More Than Usual
FWAG	Farming & Wildlife Advisory Group
FWD	Four/Front Wheel Drive
FWGYN	Flattery Will Get You Nowhere
FWICR	From What I Can Recall
FWIR	From What I Recall
FWIW	For What It's Worth
FWOT	F**king Waste Of Time
FWTBT	For Whom The Bell Tolls
FWTQ	F**k Was That Quick
FX	Effects (Stage directions!)
FY	Faithfully Yours
FYAP	Fallen Youth And Ardent Punster
FYEO	For Your Eyes Only
FYI	For Your Information
G7	Group of Seven (Can. Fr. Ger. It. Jap. UK USA)
G8	(more recent version of G7)
GA	Go Ahead/Georgia
GAF	Give A F**k
GAFU	God Almighty F*ck Up
GAL	Get A Life 
GAMSACT	Great And Mighty Self Appointed Conference Theologian
GAPP	Global Awareness Partnership Project
GB	Great Britain/GigaByte/Guantánamo Bay/Gordon Bennett
GBH	Grievous Bodily Harm
GBOR	Guinness Book Of Records
GBP	Great British Pounds (sterling)/Geese Behind Parapet/Great British Public
GBR	Guinness Book of Records
GBS	Get Better Soon
GC	Group Chairman
GCA	Gratuitous Cruelty to an Apostrophe
GCHQ	Government Communications HeadQuarters
GCTFPRK	Great cix:gourmet Travelling Fish Pun Resource Kit
GCTFPT	Great CIX Travelling Fish Pun Thread
GD&R	Grin/ning, Duck/ing & Run/ning
GDP	Gross Domestic Product
GDR	Grins, Ducks, Runs
GDV	Global Development Village
GEB	Gödel, Escher, Bach: an Eternal Golden Braid (a book by Douglas R. Hofstadter)
GEC	Group Executive Committee (usually referred to as Group Exec)
GEM	Graphical Environment Manager (a Mac-like GUI used on the Atari ST range, and also unsuccessfully on IBM PCs)
GEO	Geosynchronous Earth Orbit
GEP	Grieve-Elphick Punfest
GEPF	Grieve-Elphick PunFest
GF	Gluten Free
GFAS	Going For A Song
GFF	Go Fifty-Fifty
GFI	Go For It
GGUK	Girl Guiding UK
GIAWUR	Grandmother In Absentia to cix:WUR
GIF	Graphics Interchange Format
GIGO	Garbage In Garbage Out
GIIO	Got It In One
GIMME	Gringotts Interbank Muggle Middle Exchange rate
GIS	Geographical Information System
GIWIST	Gee I Wish I'd Said That
GL	Good Lad!
GLASS	Green Lanes ASSociation
GLF	Go Like F**k
GLG	Goofy Little Grin
GLS	Guy L. Steele, Jr (CS luminary)
GLW	Good Little Woman/Good lady Wife
GM	George Medal/GunMetal/Genetically Modified/General Midi
GMAC	Give Me A Chance
GMS	Grant-Maintained School
GMT	Greenwich Mean Time (also called UTC as a sop to the French)
GMTA	Great Minds Think Alike/Gillian Margaret Tennant Again
GMTABFSD	Great Minds Think Alike, But Fools Seldom Differ.
GNAS	Grand National Archery Society
GNDN	Goes Nowhere Does Nothing
GNER	Great North Eastern Railway
GNP	Gross National Product
GNU	Gnu's Not Unix (mammoth Open Source project)
GOC	God's Own Country (Yorkshire)
GOK	God Only Knows
GOL	Giggling Out Loud
GOM	Grumpy Old Man
GOT	Go On Then
GOTFIA	Groaning On The Floor In Agony
GP	General Practitioner/Girl Power/Grand Prix/General Principle
GPF	General Protection Fault
GPL	General Public Licence
GPRS	General Packet Radio Services
GPS	Global Positioning System
GR&D	Grinning, Running & Ducking
GS	Government Service
GSL	Group Scout Leader
GSM	Global System for Mobile (communication)
GSM	Group Scouters' Meeting
GST	Geoff Standard Tenner
GT	Group Treasurer/Gill Tennant/Good Thinking/Go There/Gin & Tonic/Gowan Then/Gran Tourismo
GTA	Golden Toggle Award
GTBAOTIOTO		Got The Butter All Over The Inside Of The Oven
GTBOS	Glad To Be Of Service
GTBOSAAT	Glad To Be Of Service And Any Time
GTFA	Get The F**king Address
GTFI	Get The F**king Idea
GTHI	Glad To Hear It
GTJ	Go To Jail
GTJGDTJDNPGDNCTHP	Go To Jail, Go Directly To Jail, Do Not Pass Go, Do Not Collect Two Hundred Pounds
GTRM	Going To Read Mail
GTRM	Going To Read Mail
GTSYOTB	Glad To See You're On The Ball
GTTB	Go To The Boastery/Basement
GTTBOTC	Go To The Back Of The Class
GTTBOTQ	Go To The Back Of The Queue
GTTBRA	Go To The Boastery Right Away
GTTC	Go To The Confessional
GTTCRA	Go To The Confessional Right Away
GTWUBB	Go To Wicked Uncle Bruce's Basement
GTWURB	Go To Wicked Uncle Richard's Basement
GTYB	Go To Your Basket
GTYB	Go To Your Bed
GTYC	Go To Your Cell
GTYD	Go To Your Dungeon
GTYR	Go To Your Room
GTYRTFN	Go To Your Room Till Further Notice
GU	Guam
GUDDWAS	Galloping Up Diarrhoea Drive Without A Saddle
GUI	Graphical User interface
GURP	Great Uncle Robert Powell
GUT	Going Underground Tomorrow
GWP	Gilwell Park
GWS	Get Well Soon
GXN	GX Networks, the current owners of CiX (as of 22 July 2003)
GYLI	Glad You Liked It
GYSACOPGPARTFM	Get YourSelf A Copy Of PGP And Read The F**king Manual
GYSACOPGPARTM	Get YourSelf A Copy Of PGP And Read The Manual
HABEF	Have A Bonus E-Florin
HABEG	Have A Bonus E-Groat
HABES	Have A Bonus E-Shilling (3 e-groats to the shilling)/E-Smack
HABT	Have A Bonus Thwack!
HACOC	Have A Cup Of Chocolate/Coffee
HACOT	Have A Cup Of Tea
HAEF	Have An E-Florin
HAEG	Have An E-Groat
HAES	Have An E-Shilling (3 e-groats to the shilling)/E-Smack
HAF	Habitually Attired Female
HAFPV	Have A Funeral Pre-payment Voucher
HAGOD	Have A Glass Of Demonade
HAGS	Have A GobStopper
HAL	Hardware Abstraction Layer
HAM	(H)AMateur radio enthusiast
HAMF	Have A MouthFiller (aka GobStopper)
HAND	Have A Nice Day
HAOC	Have An Of Course
HART	Highway Addressable Remote Transducer
HB	Honeyball/Honey Bee
HC	Holy Communion/Highway Code/Home Contact
HCA	Hans Christian Andersen
HCATSOTD	Html Counters Are The Spawn Of The Devil
HCB	Hot Cross Bun
HCL	Hardware Compatibility List
HD	Hard Disk
HDD	Hard Disk Drive
HDL	High-Density Lipoprotein ('good' cholesterol)
HDMI	High Definition Multimedia Interface
HDRA	Henry Doubleday Research Association
HDU	High Dependency Unit
HEAT	High Explosive Anti Tank
HESH	High Explosive Squashed Head
HEX	Hexadecimal Number/Spell
HEY	HElp Yourself
HF	High Frequency
HF&D	Hell Fire & Damnation
HFD	Hell Fire & Damnation
HFTB	He's Far Too Busy
HG	Mercury
HGAC	Haven't Got A Clue
HGAFC	Haven't Got A F**king Clue
HGC	Hercules Graphics Card
HH	Home Highway/Hear Hear/Horn's House/His(Her) Highness/His Holiness/Harry's Happy
HHAEG	Have Half An E-Groat
HHB	Hah, Hah Bonk
HHCIB	How Hard Can/Could It Be
HHGTTG	Hitch Hikers Guide To The Galaxy
HHM	He Has Mail
HHVFNGABYBIAVHB	Ha Ha Very Funny Now Go And Boil Your Bum In A Very Hot Bath
HI	Her Indoors/Hawaii
HIGNFY	Have I Got News For You
HIH	Hope It Helps
HJT	HiJack This
HIMAU	Have I Missed An Update?
HIT	Have I Thinned?
HIUI	How I Understand It
HIWHTCE	He In Whose Honour This Conference Exists
HIYOW	Have It Your Own Way
HJPWB	Hugh Johnsons’ Pocket Wine Book
HK	Hong Kong
HMD	Hatches, Matches & Despatches
HME	Honeyball Machine Equivalent
HMEGITW	How Many Egroats Is That Worth ?
HMG	Her/His Majesty's Government
HMSO	Her Majesty's Stationery Office
HNBWNB	Has Never Been, Will Never Be
HNG	Horny Net Geek
HOIME	Here's One I Made Earlier
HOIPE	Here's One I Prepared Earlier
HOLLAND	Hope Our Love Lasts And Never Dies
HOS	Head Of State
HOSTYDS	HOllow Spike TYre Deflation System
HOTOL	HOrizontal Take-Off and Landing
HOTP	Hot Off The Press
HP	Houses of Parliament/Sauce/Hewlett Packard/Happy Pills/Horse Power
HPA	High Performance Addressing
HPFS	High Performance File System
HQ	Headquarters
HR	Human Resources (Personnel)
HRM	Heart Rate Monitor
HRT	Hormone Replacement Therapy
HRYA	How Right You Are
HSB	Horizontal Scroll Bar
HSCSD	High Speed Circuit Switched Data
HSE	Health & Safety Executive
HSIK	How Should I Know
HSML	HyperSmirk Makeup Language
HSP	Host Signal Processor
HSS	High Speed Steel
HST	High Speed Technology
HSWIS	He Says What I Say
HTAE	Here There And Everywhere
HTBAAWIBA	Have There Been Any Acronyms While I've Been Away?
HTBEG	Have Two Bonus E-Groats
HTEG	Have Two E-Groats
HTES	Have Two E-Shillings (3 e-groats to the shilling)
HTF	How The F**k
HTFWISTKT	How The F**k Was I Supposed To Know That
HTH	Hope This Helps/How The Hell
HTLATRYL	Have This Liquorice Allsort To Reward Your Loyalty
HTM	HyperText Mark-up
HTML	HyperText Mark-up Language
HTMLCATSOTD	HyperText Markup Language Counters Are The Spawn Of The Devil
HTT	Holier Than Thou
HTTP	HyperText Transfer Protocol
HTTPS	HyperText Transfer Protocol Secure
HTTTHINA	He's Telling The Truth, He Is Not Able
HTWFAIP	How To Win Friends And Influence People
HVJ	High Visibility Jacket
HVV	High Visibility Vest
HWBMBB	He Whose Books Must Be Bought (aka Terry Pratchett)
HWISTKT	How Was I Supposed To Know That?
HWM	Hopeless With Money
HWSTWH	He Would Say That, Wouldn't He
HYSLAAWUR	HYperSmirker Leerer & Assistant Acronymist to cix:WUR
I/O	Input/Output
IA	I Assume/Iowa
IAAL	I Am A Lawyer
IAAMWE	I Am At My Wits End
IAB	Internet Architecture Board
IAC	In Any Case
IADNLY	I Always Do Not Like You
IADWA	It All Depends Who's Asking
IAE	In Any Event
IAEA	International Atomic Energy Agency
IAF	Is A Fact/I'm AFraid/In Actual Fact
IAFA	In As Far As
IAFAIG	In As Far As It Goes
IAGU	It's A Good 'Un
IAH	In All Honesty
IAL	In Acronyms List
IALF	It's All Leslie's Fault
IAM	Institute of Advanced Motorists/ Institute of Applied Mathematics
IANAA	I Am Not An Accountant/I Am Not An Acronym
IANAD	I Am Not A Doctor
IANAE	I Am Not An Expert
IANAEB	I Am Not An Expert But
IANAEITA	I Am Not An Expert In This Area.
IANAFA	I Am Not A Financial Advisor
IANAL	I Am Not A Lawyer
IANAM	I Am Not A Mod (but....)
IANAV	I Am Not A Vet
IARU	International Amateur Radio Union
IAS	It's Acronym Syndrome
IASB	I'm A Stroppy Bastard/Bitch
IASBTBDO	I Only Said Blow The Bloody Doors Off
IAWALSCD	It's Amazing What A Little Squirt Can Do
IBC	Inside Back Cover
IBM	Its’ Being Mended/Its’ Better Manually/International Business Machines/I Blame Microsoft
IBP	Inside Back Page
IBRD	International Bank for Reconstruction and Development (World Bank)
IBTD	I Beg To Differ
IBTJOT	I'll Be The Judge Of That
IBTYSK	I Bow To Your Superior Knowledge
IBWIF	I'll Be Wurse/Worse In Future
IBY	It's Behind You
IBYITBOCTTIPTYMBM	I Beseech You In The Bowels Of Christ To Think It Possible That You Might Be Mistaken (O Cromwell to the Covenanters)
IBYP	I Beg Your Pardon
IC	I See/Integrated Circuit
ICA	Internet Conferencing Account
ICANN	Internet Corporation for Assigned Names and Numbers
ICA-OUT	Internet Conferencing Account Occasional User Tarriff
ICA-SUT	Internet Conferencing Account Standard User Tariff
ICBA	I Can't Be Arsed/It Could Be Arranged
ICBALOTBNT	I Can Believe A Lot Of Things But Not That
ICBFD	Intercontinental Ballistic Flying Donkeys
ICBM	InterContinental Ballistic Missile
ICBW	I Could Be Wrong
ICC	International Criminal Court
ICE	In Car Entertainment/In Circuit Emulator
ICF	Internet Connection Firewall
ICIIWT	I Can If I Want To
ICM5P	I Claim My 5 Pounds
ICM5UKP	I Claim My 5 UK Pounds
ICME	I Claim My Egroat
ICMFP	I Claim My Five Pounds
ICMP	Internet Control Message Protocol
ICNAM	I Could Not Agree More
ICPC	I Couldn't Possibly Comment
ICQ	I Seek You (an Instant Messaging service)
ICS	Internet Connection Sharing
ICSTIS	Independent Committee for Supervision of Standards of Telephone Information Service
ICU	Intensive Care Unit
ICYB	I Call Your Bluff
ICYDK	In Case You Didn't Know
ID	Identity/In Dictionary/Idaho
IDBI	I Don't Believe It
IDBY	I Don't Believe You
IDC	In Due Course
IDCAYDM	I Don't Care And You Don't Matter
IDDI	I Didn't Do It
IDE	Integrated Drive Electronics/Integrated Development Environment/IDEntity file (AV software)
IDGAFF	I Don't Give A Flying F**k
IDGATC	I Don't Give A Tinker's Curse
IDGWIATBLIUM	I Didn't Get Where I Am Today By Liking It Up Me
IDI	I Do Indeed
IDIPCATDIPS	Iechyd Da I Pob Cymro Ac Tyllau Din I Pob Sais (Good health to every Welshman and arseholes to every Englishman.)
IDKT	I Didn't Know That
IDL	Interface Definition Language
IDLM	I Don't Like Mondays
IDLY	I Don't Like You
IDMB	I Don't Mind Bruce/I Do My Best
IDMIYD	I Don't Mind If You Don't
IDNA	I Do Not Agree
IDNKT	I Did Not Know That
IDNRTCOTC	I Do Not Recognise The Competence Of The Court
IDNSWYM	I Do/Did Not See What You Mean/Meant
IDOAWC	I'm Dreaming Of A White Christmas
IDR	Intelligent Disaster Recovery
IDS	In Deep Sh*t/Ian Duncan Smith
IDSWYM	I Do/Don't See What You Mean
IDTT	I Did That Too
IDTV	Integrated Digital TeleVision
IDTYSK	I Defer To Your Superior Knowledge
IDUTAETIIITAL	I Don't Understand That Acronym Even Though It Is In The Acronym List
IDVFHOM I Demand Verification From Horse Or Mouth
IDWT	I Don't Want To
IDWY	I Didn't Warn You
IE	Info Evolution/Internet Explorer
IEAK	Internet Explorer Administration Kit
IEE	Institute of Electrical Engineers
IEEE	Institute of Electrical and Electronic Engineers
IENS	Info Evolution's NearSite
IETF	Internet Engineering Task Force
IFAPIFAP	In For A Penny In For A Pound
IFC	Inside Front Cover
IFD	Inflatable Flying Donkey(s)
IFP	Inside Front Page
IFTB	I'm Far Too Busy
IFTBTR	I'm Far Too Busy To Reply
IFTL	I'm Far Too Lazy
IFTLTR	I'm Far Too Lazy To Reply
IG	Imbibes Graciously
IGABW	I've Got A Bigger Willy
IGI	International Genealogical Index (LDS)
IGMC	I'll Get My Coat
IGRTI	I Get Round To It
IGTHAAS	It's Great To Have An Automatic Signature/I'm Glad The Hogfather Annihilated Automatic Says
IHA	I Hate Acronyms
IHAG	I'd Hazard A Guess
IHG	Inclines Head Graciously
IHGAC	I Haven't Got A Clue
IHNFI	I Have No F**ng Idea (with implied Allo-Allo pseudo French accent)
IHTA	I Have To Admit
IHTS	I Have/Hate To Say
IHWYS	I Hear/Heard What You Say/Said
IHYTFT	I Heard You The First Time
IIABDFI	If It Ain't Broken, Don't Fix It
IIABFIUII	If It Ain't Broke, Fix It Until It Is
IIDKB	If I Didn't Know Better
IIJM	Is It Just Me
IIJMO	Is It Just Me, Or...
IIMBSB	If I May Be So Bold
IIML	It's In My List
IIMSS	If I May Say So
IIN	Is It Not ?
IINFN	It Is Not For Nothing
IIOP	Internet Inter-Orb Protocol
IIR	If I Recall/Remember
IIRC	If I Recall/Remember Correctly
IIS	Internet Information Server/Services
IITP	It's In The Pot
IITYWIMWYBMAP	If I Tell You What It Means Will You Buy Me A Pint
IITYWYBAD	If I Tell You, Will You Buy Another Drink
IITYWYBMAB	If I Tell You, Will You Buy Me A Beer
IIUC	If I Understand Correctly
IIUHC	If I Understand His Comment
IIUYC	If I Understand You Correctly
IIWY	If I Were You
IJST	I Just Said That
IK	I Know
IKEWYM	I Know Exactly What You Mean
IKICCOY	I Know/Knew I Can/Could Count On You
IKIWAJ	I Know It Was A Job
IKIWAJAW	I Know It Was A Job As Well
IKT	I Know That
IKTF	I Know That Feeling
IKWYM	I Know What You Mean
IL	Illinois
ILTATA	I'd Like To Ask The Audience
ILTGFF	I'd Like To Go Fifty-Fifty
ILTPIA	I Like To Pretend I Am
ILU	I Love yoU
ILY	I Love You
ILYOTTBDDIA	I'll Let You Off This Time But Don't Do It Again
ILYOTTBDDIAOYPAFIEGF	I'll Let You Off This Time But Don't Do It Again Or You'll Pay A Fortune In E-Groat Fines
IM	IntelliMouse/Immediate Messaging
IMA	I Must Admit
IMAP	Internet Mail Access Protocol
IMBO	In My Boastful Opinion
IMCDO	In My Conceited Dogmatic Opinion
IMCO	In My Considered Opinion
IMCWN	I Most Certainly Will Not
IME	In My Estimation/Experience
IMEI	International Mobile Equipment Identification (ID in a mobile phone)
IMF	International Monetary Fund
IMHA	In My Humble Analysis
IMHE	In My Humble Estimation/Experience
IMHO	In My Humble Opinion/In My Honest Opinion
IMLE	In My Limited Experience
IMMDNDM	If My Memory Does Not Deceive Me
IMNHO	In My Not so Humble Opinion
IMNSHO	In My Not So Humble Opinion
IMNVHO	In My Not Very Humble Opinion
IMO	In My Opinion
IMOPV	In My Own Personal View
IMOT	In My Own Time
IMR	Infant Mortality Rate
IMRMPBC	I Must Read Messages Properly Before Commenting
